Variable,N,N_missing,Mean,Median,SD,Minimum,Maximum
AvgTempSetPointDeviationVC,5676,3054,4.88391,3.8,5.578276,-14.4,21.7
AvgTempVC,5676,1082,74.37566,74.32797,5.800719,53.4,91.20936
Ceftiofur,5676,13,5.38407,0,25.939805,0,627
CeftiofurProportion,5676,13,0.00201,0,0.008915,0,0.19854
Days,5676,7,80.85588,76,50.852977,1,210
Dead,5676,20,0.59335,0,1.362418,0,25
DeadProportion,5676,20,4e-4,0,0.001253,0,0.02298
Dexamethasone,5676,13,5.76479,0,20.33389,0,306
DexamethasoneProportion,5676,13,0.00271,0,0.008841,0,0.11022
Enroflaxin,5676,13,6.45188,0,18.692111,0,308
EnroflaxinProportion,5676,13,0.00297,0,0.008727,0,0.16649
Euth,5676,20,0.48179,0,1.779643,0,44
EuthProportion,5676,20,3.6e-4,0,0.001745,0,0.05591
HiTempRMS,5676,63,78.05122,77.5,7.421034,57.4,99.7
HiTempSetPointDeviationRMS,5676,69,9.16966,6.6,8.177861,-7.6,39.6
HiTempSetPointDeviationVC,5676,2999,8.91961,6.9,7.673656,-11.3,32.1
HiTempVC,5676,1015,79.60232,79.3,7.382797,45.4,100.304
Inventory,5676,7,1794.26777,1756,889.107524,4,4317
InventoryChange,5676,10,5.78609,0,176.461551,-2307,1952
Lincomycin,5676,13,3.50645,0,10.74279,0,134
LincomycinProportion,5676,13,0.00214,0,0.006131,0,0.0744
LowTempRMS,5676,64,70.74852,70.3,5.177434,46.6,84.2
LowTempSetPointDeviationRMS,5676,70,1.8647,1.4,4.319071,-28.4,19
LowTempSetPointDeviationVC,5676,3000,1.4577,1.1,4.576068,-19.7,15.2
LowTempVC,5676,1028,69.51595,69.6401,6.030616,45,84.8301
Marketing,5676,7,0.13812,0,0.345056,0,1
MidPointTempRMS,5676,64,74.40111,74.4,5.858427,54.25,89.7
MidPointTempSetPointDeviationRMS,5676,70,5.51784,4.1,6.013117,-13.75,27.2
OtherTreatments,5676,13,0.45683,0,5.391772,0,124
OtherTreatmentsProportion,5676,13,3.8e-4,0,0.004555,0,0.11022
Penicillin,5676,13,4.31768,0,14.847985,0,179
PenicillinProportion,5676,13,0.00158,0,0.00521,0,0.05851
PrimaryRespiratory,5676,13,13.28395,0,32.114847,0,627
PrimaryRespiratoryProportion,5676,13,0.00571,0,0.012608,0,0.19854
SecondaryRespiratory,5676,13,13.58891,0,30.124905,0,341
SecondaryRespiratoryProportion,5676,13,0.00643,0,0.013254,0,0.11865
SetPointRMS,5676,55,68.87787,67.3,6.836901,60,89
SetPointVC,5676,2988,70.02269,68.3,6.102038,60,83.5
TempRangeRMS,5676,64,7.30518,5.5,5.140109,0.3,34.1
TempRangeVC,5676,1028,10.15406,9.26505,5.806043,0,35
Tetracycline,5676,13,1.448,0,8.103734,0,180
TetracyclineProportion,5676,13,7.4e-4,0,0.003899,0,0.07609
TotalInventoryChange,5676,18,5.48056,-1,248.004417,-2897,2545
TotalMortality,5676,20,1.07514,0,2.747334,0,55
TotalMortalityProportion,5676,20,7.6e-4,0,0.002707,0,0.06607
TotalTreatments,5676,13,27.32968,6,49.862098,0,640
TotalTreatmentsProportion,5676,13,0.01252,0.00358,0.020615,0,0.22044
WaterDispHdRMS,5676,564,1.20265,1.22923,0.632952,0.1,3.65971
WaterDispHdVC,5676,2104,1.24761,1.33578,0.636195,0.10085,3.28571
WaterDispRMS,5676,564,1899.53854,1969,948.395507,15,6840
WaterDispVC,5676,2104,1968.27576,2046.5,921.826064,14,4721
WaterMedications,5676,9,0.10605,0,0.307932,0,1
