"ModelName","ModelAIC","Time_to_Convergence"
"Level1_glm",8277.35058902488,0.062730073928833
"Level1_oinv_glm",7974.10178148475,0.129082202911377
"Level1_inv_glm",7975.51249911277,0.19063663482666
"Level2_a_glm",8041.41257925713,0.164535760879517
"Level2_a_oinv_glm",7932.68355006524,0.222995042800903
"Level2_a_inv_glm",7914.20458487974,0.241114377975464
"Level2_b_glm",8029.10478610251,0.194568634033203
"Level2_b_oinv_glm",7934.62098082838,0.249273777008057
"Level2_b_inv_glm",7915.53590457821,0.312604904174805
"Level2_c_glm",7988.52292003608,0.35040283203125
"Level2_c_oinv_glm",7911.33934414051,0.368346452713013
"Level2_c_inv_glm",7885.67493449602,0.33982253074646
"Level3_a_glmer",7907.86397917917,20.5476469993591
"Level3_a_oinv_glmer",7815.1240323559,27.9968571662903
"Level3_a_inv_glmer",7807.58417149681,29.6328165531158
"Level3_b_glmer",7840.00932279261,97.3770039081573
"Level3_b_inv_glmer",7748.55958301134,179.891430616379
"Level3_c_glmer",7802.48325715267,364.818918704987
"Level3_c_inv_glmer",7739.79032043904,995.746826648712
"Level4_a_glmer",7812.33966260388,16.1655011177063
"Level4_a_oinv_glmer",7710.4226854215,26.2926619052887
"Level4_a_inv_glmer",7712.36737792304,33.1050546169281
"Level4_b_glmer",7782.73094978118,89.6152203083038
"Level4_b_oinv_glmer",7650.15175529651,187.492943763733
"Level4_b_inv_glmer",7648.11369801001,288.762969255447
"Level4_c_glmer",7708.12743769212,567.854592084885
"Level4_c_oinv_glmer",7609.84097589426,1007.64286971092
"Level4_c_inv_glmer",7602.83480768703,1074.46583580971
